,ds,iOS,iOS_pi_lower,iOS_pi_upper,web,web_pi_lower,web_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,Total,Total_pi_lower,Total_pi_upper
76,2018-04-23,67245.79237754042,60736.4959119613,73899.59739212878,113806.44089632721,96259.93857886366,130229.73695200282,27805.400217965,25333.420644814723,30558.868524817968,29948.784193716623,26290.686343220306,33393.96137023732,238806.41768554927,208620.54147886,268082.1642391869
77,2018-04-24,67260.7047314166,60376.12391206551,74156.33410973167,113128.97391155735,95567.90075561595,130692.32136349457,28126.228052295166,25530.963793964158,30772.230250613942,30341.59780713016,26887.405786518342,33628.81440749847,238857.50450239927,208362.39424816397,269249.7001313387
78,2018-04-25,67181.88717011274,60310.557084858876,74375.99148023725,111911.0186312153,95515.5696486242,128883.58385027306,28141.823366066208,25513.83996246432,31038.777006843593,29898.423645142448,26396.564166032393,33229.66989152162,237133.15281253666,207736.5308619798,267528.02222887555
79,2018-04-26,66307.71304898425,59313.149683966665,73400.8644492628,107541.82943677244,89782.16708179287,124455.39445879363,27716.74991963726,25270.594597594692,30487.897628217725,29488.61048522516,26120.271816883927,33056.1194945501,231054.9028906191,200486.18318023818,261400.27603082426
80,2018-04-27,63641.11705430158,56688.40296867879,70494.82701443769,95771.93921011219,77947.26384935612,113493.99750786823,26794.661484244396,24116.250802335107,29322.789282644706,28583.271967059325,25238.41626008128,32010.285721035314,214790.9897157175,183990.3338804513,245321.89952598594
81,2018-04-28,59979.529431554845,53264.54236952518,66989.64283281584,64963.480839655705,49333.3896597279,81565.82936741074,25531.918600317244,22943.593313503363,28069.614082746197,27973.42833622567,24724.758407302772,31709.580765609815,178448.35720775346,150266.28375005923,208334.66704858257
82,2018-04-29,62462.83943333065,55586.99521927443,69323.56226014702,69033.33767923487,52233.24534001254,86710.21016231773,26003.046400719584,23236.7510750991,28706.591480002186,29297.160098623048,25883.13643380867,32659.003885839647,186796.38361190815,156940.12806819472,217399.36778830658
83,2018-04-30,66996.64093463619,60120.38634524539,73963.69328348714,109032.79956777366,92846.50972583792,126229.01483491788,27686.38190929259,24917.219650564984,30567.20295889251,30863.98847029238,27527.374472045132,34458.340625008284,234579.81088199484,205411.49019369343,265218.2517023058
84,2018-05-01,66627.59732841441,59884.63172013532,73433.00731647047,108461.47113237776,91386.2031231191,124648.85464831522,27953.204948811734,25240.56180508016,30837.729931360387,31128.608824737985,27679.717079265323,34550.439061601486,234170.8822343419,204191.1137275999,263470.03095774754
85,2018-05-02,66189.53948847552,58705.77124977699,72770.23672346491,107467.39102610419,90401.74257712514,123875.62448988385,27926.627390005193,25238.387388473326,30252.41360772181,30553.87548548801,27158.79947766783,34183.91046686309,232137.4333900729,201504.7006930433,261082.18528793362
86,2018-05-03,64990.58474809387,57680.32074328672,72059.44121734881,103439.4013118787,85089.00447336026,121881.93624332905,27472.891316516656,24864.512488647164,30199.492873088104,30012.65575475911,26396.433985819443,33681.459536559894,225915.53313124832,194030.2716911136,257822.32987032586
87,2018-05-04,62042.620545968966,55231.38655056739,69098.6180780698,92124.51678099392,74897.96471938756,108535.24352372292,26536.997524747483,23939.71799585508,29201.625000997275,28979.642087462304,25646.841261590464,32727.923041980855,209683.77693917268,179715.91052740047,239563.40964477087
88,2018-05-05,58150.98771523267,51156.768941259565,64079.14079562926,61878.2845203661,43708.60969632548,79319.21125549624,25276.277466370313,22639.910328436556,27860.015321230007,28249.39752530454,24705.428130316057,31764.67976001273,173554.94722727363,142210.71709633767,203023.0471323682
